"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13826.580539443","13742.765349414","12204.1901155292","13052.9921018318","12858.084655983","13605.7680127512","14317.3436702073","15665.83896985","16026.9929088085","14060.9159603677","14941.2156526635","13404.8614887147","16020.8839351917","17021.6528584314","17082.0949465605","17283.1928785373","17627.3577785969","17639.6087198211","16571.8202661156","16205.221266852","14191.5091570589","",
"Bahamas, The","BHS","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26315.529376369","25388.4670652694","23284.2068257684","23003.5793787085","21997.2645554561","22021.9784292072","26644.4405348687","29752.1273364604","33176.4325503913","29889.0548842325","34565.1865520564","35152.4352379527","33755.1197766891","36826.1522129532","35406.8663916687","33632.7171858074","34724.7083512344","33135.1102753591","33904.1848954459","32299.4282949691","28689.3978456201","27452.303347576","26776.067966113","28012.2401034494","26702.1959069748","27048.9883194606","27525.3874933191","27483.052795204","28349.1785029093","28232.1296532393","29297.256140164","21781.3316471881","",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2421.76485655517","2478.77031176548","2608.55356316301","2676.38531744612","2970.22776758611","3017.60099419703","3260.00309510529","3425.46425299086","3669.74444442418","3565.10929220663","3516.26298558319","3472.09108314891","3406.90720399521","3559.61742657284","3650.92559250498","3922.01231599347","4198.66632294927","4388.93891176352","4600.15207627732","4836.45630638708","4682.70781237799","",
"Belarus","BLR","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1341.41681487222","979.47720496555","1064.18430360796","1181.32638315792","1322.41719033065","1367.0404064694","1501.61895062611","1663.26675793601","1799.45818376529","1989.53332526912","2258.9674264193","2612.36266949102","3005.40210813189","3335.98977352028","3894.63745435652","3741.84924019594","4050.87791982205","4783.80849484772","4972.11393998567","4964.77341836621","5120.41487953693","4890.56424448974","4609.8210809626","4800.14466889061","5113.40490849057","5271.47088442847","5084.85510932308","",
"Belize","BLZ","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","3294.52338899738","2586.49767114435","2459.89988198918","2379.59476640236","2336.99993788263","2058.33787488854","2201.69426497232","2543.36312410682","2792.20007095645","2964.96960448316","3308.98347811823","3424.18552549902","3655.87429134777","3774.05152129346","3794.13171121329","3832.85471454162","3696.93453880524","3613.48922691296","3601.30808200865","3575.90305566857","3529.68888999539","3500.79900681482","3593.93674205818","3574.31229150905","3503.48757603544","3490.09519107696","3447.35456577374","3255.21421368057","3073.75272861132","3256.53218885747","3069.35943958728","3188.44519572734","3256.49205603756","3355.19602059106","3439.75239427047","3740.37891423727","3676.15764025762","3696.03301851552","3462.4865118542","3548.28354811385","3059.58387769145","",
"Bermuda","BMU","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","2001.94649024664","2005.27362675811","1889.67365413932","1841.43139114892","1726.44306914136","1767.31714715567","1605.47648635503","1555.54766134348","1517.86441027905","1553.58763182282","1463.63854614338","1500.41573517147","1477.98444947869","1483.85109155474","1525.92129483668","1569.37129392959","1564.88742519191","1575.1095063842","1608.78616044787","1665.44027660996","1731.05909924951","1797.44967995541","1874.00426675282","1799.06879832833","1752.20108918465","1762.13014347218","1788.72646867887","1806.47418565635","1811.0418826576","1810.70966933808","1899.5549370679","1927.29133215776","2143.79873018897","2155.1166043297","2255.24988824983","2330.85429885839","2385.45435178151","2481.76831118885","2532.24611828706","2577.80044622995","2661.78391474056","2741.34363711106","2831.8194281507","2887.29834930224","2440.93541742774","",
"Brazil","BRA","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","3470.47455700331","3784.5276843006","4141.91837039266","4602.03901966995","4764.15036568066","4856.88210399442","5253.56761413652","5431.37332894764","5456.89233484024","5601.01676453408","5725.67146839097","5264.21921513225","5118.68601542322","4789.7877935094","4985.86523895374","6177.79653670155","6630.76503870342","6724.25224833817","6612.05554799613","6113.59197932488","5196.56984019634","5250.95299994356","5231.37650243651","5348.48321830247","5623.5490825139","5866.88961492846","5856.77206071038","5936.26494827495","5784.76427378618","5544.89539888693","5780.59835922413","5733.84574951316","5817.64547159963","5802.72969168728","6051.80359429838","6132.80308131349","6389.1820497039","6752.34930241164","6949.23445648884","7051.9061160855","7463.94050588661","7775.23068781864","7839.26440803394","8120.57924071213","8011.50964365195","7644.08741649256","7333.46446576176","7375.23636452206","7323.35864198299","7386.7948736744","6970.84799114468","",
"Barbados","BRB","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14075.0787692717","","","","","","",
"Brunei Darussalam","BRN","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18536.4822076264","20095.0026735176","20525.2519849066","19091.5015982106","17357.3837723986","16392.6081535776","22050.6638047547","17913.5573596952","15926.9977535435","16300.0839617341","16610.9206596818","16664.0844363427","18716.7503069191","18861.2902391652","20239.3884823057","22323.5534039117","24403.9867707817","26395.0382288026","31172.0011462358","25127.8442058535","26176.4061322268","28861.2418074505","30193.8066230972","29898.6048422844","29579.7336915244","26342.8083892084","24922.8133422875","25248.4705930891","23840.4505231746","25015.9787152934","22605.3518982899","",
